Cnic,Full Name,Party Name,Province,City,Assembly Type,Assigned Constituency
1111111111101,Rizwan,PTI,Balochsitan,Quetta,National Assembly,NA-01
1111111111102,Zia ul Haq,PML-N,Balochistan,Quetta,National Assembly,NA-01
1111111111103,Farooq,PPP,Balochistan,Quetta,National Assembly,NA-01
1111111111104,Naseem,JUI,Balochistan,Quetta,National Assembly,NA-01
1111111111105,Bilal,ANP,Balochistan,Quetta,National Assembly,NA-01
1111111111106,Babar,PTI,Punjab,Lahore,National Assembly,NA-02
1111111111107,Tawab,PML-N,Punjab,Lahore,National Assembly,NA-02
1111111111108,Wahab,PPP,Punjab,Lahore,National Assembly,NA-02
1111111111109,Abdullah,JUI,Punjab,Lahore,National Assembly,NA-02
1111111111110,Nazim,ANP,Punjab,Lahore,National Assembly,NA-02
1111111111111,Noureen,PTI,Sindh,Karachi,National Assembly,NA-03
1111111111112,Riaz,PML-N,Sindh,Karachi,National Assembly,NA-03
1111111111113,Sabir,PPP,Sindh,Karachi,National Assembly,NA-03
1111111111114,Najam,JUI,Sindh,Karachi,National Assembly,NA-03
1111111111101,Rizwan,ANP,Sindh,Karachi,National Assembly,NA-03
1111111111102,Zia ul Haq,PTI,Khyber Pakhtunkhwa,Peshawar,National Assembly,NA-04
1111111111103,Farooq,PML-N,Khyber Pakhtunkhwa,Peshawar,National Assembly,NA-04
1111111111104,Naseem,PPP,Khyber Pakhtunkhwa,Peshawar,National Assembly,NA-04
1111111111105,Bilal,JUI,Khyber Pakhtunkhwa,Peshawar,National Assembly,NA-04
1111111111106,Babar,ANP,Khyber Pakhtunkhwa,Peshawar,National Assembly,NA-04
1111111111107,Tawab,PTI,Islamabad Capital Territory,Islamabad,National Assembly,NA-05
1111111111108,Wahab,PML-N,Islamabad Capital Territory,Islamabad,National Assembly,NA-05
1111111111109,Abdullah,PPP,Islamabad Capital Territory,Islamabad,National Assembly,NA-05
1111111111110,Nazim,JUI,Islamabad Capital Territory,Islamabad,National Assembly,NA-05
1111111111111,Noureen,ANP,Islamabad Capital Territory,Islamabad,National Assembly,NA-05
1111111111112,Riaz,PTI,Balochsitan,Quetta,Provincial Assembly,PA-01
1111111111113,Sabir,PML-N,Balochistan,Quetta,Provincial Assembly,PA-02
1111111111114,Najam,PPP,Balochistan,Quetta,Provincial Assembly,PA-03
1111111111115,Khalid,JUI,Balochistan,Quetta,Provincial Assembly,PA-04
1111111111116,Azeem,ANP,Balochistan,Quetta,Provincial Assembly,PA-05
1111111111117,Ghulam,PTI,Punjab,Lahore,Provincial Assembly,PA-06
1111111111118,Niamat,PML-N,Punjab,Lahore,Provincial Assembly,PA-07
1111111111119,Ghulam,PPP,Punjab,Lahore,Provincial Assembly,PA-08
1111111111120,Farooq,JUI,Punjab,Lahore,Provincial Assembly,PA-09
1111111111121,Sail,ANP,Punjab,Lahore,Provincial Assembly,PA-10
1111111111122,Yahya,PTI,Sindh,Karachi,Provincial Assembly,PA-11
1111111111123,Gul,PML-N,Sindh,Karachi,Provincial Assembly,PA-12
1111111111124,Shah,PPP,Sindh,Karachi,Provincial Assembly,PA-13
1111111111125,Sahab,JUI,Sindh,Karachi,Provincial Assembly,PA-14
1111111111126,Shahab,ANP,Sindh,Karachi,Provincial Assembly,PA-15
1111111111127,Waleed,PTI,Khyber Pakhtunkhwa,Peshawar,Provincial Assembly,PA-16
1111111111128,Wakeel,PML-N,Khyber Pakhtunkhwa,Peshawar,Provincial Assembly,PA-17
1111111111129,Waqar,PPP,Khyber Pakhtunkhwa,Peshawar,Provincial Assembly,PA-18
1111111111130,Adeel,JUI,Khyber Pakhtunkhwa,Peshawar,Provincial Assembly,PA-19
1111111111131,Asim,ANP,Khyber Pakhtunkhwa,Peshawar,Provincial Assembly,PA-20
1111111111132,Hanif,PTI,Islamabad Capital Territory,Islamabad,Provincial Assembly,PA-21
1111111111133,Qabil,PML-N,Islamabad Capital Territory,Islamabad,Provincial Assembly,PA-22
1111111111134,Khaleel,PPP,Islamabad Capital Territory,Islamabad,Provincial Assembly,PA-23
1111111111135,Darmand,JUI,Islamabad Capital Territory,Islamabad,Provincial Assembly,PA-24
1111111111136,Doran,ANP,Islamabad Capital Territory,Islamabad,Provincial Assembly,PA-25
1111111111137,Awais,PTI,Balochsitan,Quetta,Provincial Assembly,PA-01
