Cnic,Full Name,Party Name,Province,City,Assembly Type,Assigned Constituency
1000000000027,Rizwan,PTI,Balochsitan,Quetta,NATIONAL,NA-00
1000000000028,Zia ul Haq,PML-N,Balochistan,Quetta,NATIONAL,NA-00
1000000000029,Farooq,ANP,Balochistan,Quetta,NATIONAL,NA-00
1000000000030,Naseem,PTI,Balochistan,Quetta,NATIONAL,NA-00
1000000000031,Bilal,PML-N,Punjab,Lahore,NATIONAL,NA-01
1000000000032,Babar,PML-N,Punjab,Lahore,NATIONAL,NA-01
1000000000033,Tawab,PTI,Punjab,Lahore,NATIONAL,NA-01
1000000000034,Wahab,JUI,Punjab,Lahore,NATIONAL,NA-01
1000000000035,Abdullah,PPP,Sindh,Karachi,NATIONAL,NA-02
1000000000036,Nazim,PML-N,Sindh,Karachi,NATIONAL,NA-02
1000000000037,Noureen,PTI,Khyber Pakhtunkhwa,Peshawar,NATIONAL,NA-03
1000000000038,Riaz,JUI,Khyber Pakhtunkhwa,Peshawar,NATIONAL,NA-03
1000000000039,Sabir,PML-N,Islamabad Capital Territory,Islamabad,NATIONAL,NA-04
1000000000040,Najam,PTI,Islamabad Capital Territory,Islamabad,NATIONAL,NA-04
1000000000027,Rizwan,PTI,Balochsitan,Quetta,PROVINCIAL,PA-04
1000000000028,Zia ul Haq,PML-N,Balochistan,Quetta,PROVINCIAL,PA-04
1000000000029,Farooq,ANP,Balochistan,Quetta,PROVINCIAL,PA-04
1000000000030,Naseem,PTI,Balochistan,Quetta,PROVINCIAL,PA-04
1000000000031,Bilal,PML-N,Punjab,Lahore,PROVINCIAL,PA-03
1000000000032,Babar,PML-N,Punjab,Lahore,PROVINCIAL,PA-03
1000000000033,Tawab,PTI,Punjab,Lahore,PROVINCIAL,PA-03
1000000000034,Wahab,JUI,Punjab,Lahore,PROVINCIAL,PA-03
1000000000035,Abdullah,PPP,Sindh,Karachi,PROVINCIAL,PA-02
1000000000036,Nazim,PML-N,Sindh,Karachi,PROVINCIAL,PA-02
1000000000037,Noureen,PTI,Khyber Pakhtunkhwa,Peshawar,PROVINCIAL,PA-01
1000000000038,Riaz,JUI,Khyber Pakhtunkhwa,Peshawar,PROVINCIAL,PA-01
1000000000039,Sabir,PML-N,Islamabad Capital Territory,Islamabad,PROVINCIAL,PA-00
1000000000040,Najam,PTI,Islamabad Capital Territory,Islamabad,PROVINCIAL,PA-00
