Cnic,Full Name,Status,Disabled,Province,City,Block Code,Serial Number
1000000000001,Inayat Ullah,Active,Yes,Balochistan,Quetta,1,1
1000000000002,Salar Khan,Active,Yes,Balochistan,Quetta,1,2
1000000000003,Ahmed,Active,Yes,Balochistan,Quetta,1,3
1000000000004,Abbas,Active,Yes,Balochistan,Quetta,1,4
1000000000005,Ali,Active,Yes,Balochistan,Quetta,1,5
1000000000006,Nehad,Active,Yes,Balochistan,Quetta,1,6
1000000000007,Hafiz,Active,Yes,Balochistan,Quetta,1,7
1000000000008,Sami,Active,Yes,Balochistan,Quetta,1,8
1000000000009,Saeed,Active,Yes,Balochistan,Quetta,1,9
1000000000010,Kaleem,Active,Yes,Punjab,Lahore,6,1
1000000000011,Naveed,Active,Yes,Punjab,Lahore,6,2
1000000000012,Waheed,Active,Yes,Punjab,Lahore,6,3
1000000000013,Azeem,Active,Yes,Punjab,Lahore,6,4
1000000000014,Ghulam,Active,Yes,Punjab,Lahore,6,5
1000000000015,Niamat,Active,Yes,Punjab,Lahore,6,6
1000000000016,Ghulam,Active,Yes,Punjab,Lahore,6,7
1000000000017,Farooq,Active,Yes,Punjab,Lahore,6,8
1000000000018,Sail,Active,Yes,Punjab,Lahore,6,9
1000000000019,Yahya,Active,Yes,Punjab,Lahore,6,10
1000000000020,Gul,Active,Yes,Sindh,Karachi,11,1
1000000000021,Shah,Active,Yes,Sindh,Karachi,11,2
1000000000022,Sahab,Active,Yes,Sindh,Karachi,11,3
1000000000023,Shahab,Active,Yes,Sindh,Karachi,11,4
1000000000024,Waleed,Active,Yes,Sindh,Karachi,11,5
1000000000025,Wakeel,Active,Yes,Sindh,Karachi,11,6
1000000000026,Waqar,Active,Yes,Sindh,Karachi,11,7
1000000000027,Adeel,Active,Yes,Sindh,Karachi,11,8
1000000000028,Asim,Active,Yes,Sindh,Karachi,11,9
1000000000029,Hanif,Active,Yes,Sindh,Karachi,11,10
1000000000030,Qabil,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,1
1000000000031,Khaleel,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,2
1000000000032,Darmand,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,3
1000000000033,Doran,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,4
1000000000034,Awais,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,5
1000000000035,Owais,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,6
1000000000036,Imran,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,7
1000000000037,Wasif,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,8
1000000000038,Babar,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,9
1000000000039,Rizwan,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,10
1000000000040,Zia ul Haq,Active,Yes,Islamabad Capital Territory,Islamabad,21,1
1000000000041,Farooq,Active,Yes,Islamabad Capital Territory,Islamabad,21,2
1000000000042,Naseem,Active,Yes,Islamabad Capital Territory,Islamabad,21,3
1000000000043,Bilal,Active,Yes,Islamabad Capital Territory,Islamabad,21,4
1000000000044,Babar,Active,Yes,Islamabad Capital Territory,Islamabad,21,5
1000000000045,Tawab,Active,Yes,Islamabad Capital Territory,Islamabad,21,6
1000000000046,Wahab,Active,Yes,Islamabad Capital Territory,Islamabad,21,7
1000000000047,Abdullah,Active,Yes,Islamabad Capital Territory,Islamabad,21,8
1000000000048,Nazim,Active,Yes,Islamabad Capital Territory,Islamabad,21,9
1000000000049,Noureen,Active,Yes,Islamabad Capital Territory,Islamabad,21,10
1000000000050,Khalid,Active,Yes,Balochistan,Quetta,1,10
1000000000051,Kamil,Active,Yes,Balochistan,Quetta,1,11
1000000000052,Zahir,Active,Yes,Balochistan,Quetta,1,12
1000000000053,Zabeel,Active,Yes,Balochistan,Quetta,1,13
1000000000054,Zahoor,Active,Yes,Balochistan,Quetta,1,14
1000000000055,Qarar,Active,Yes,Balochistan,Quetta,1,15
1000000000056,Zarar,Active,Yes,Balochistan,Quetta,1,16
1000000000057,Nadir,Active,Yes,Balochistan,Quetta,1,17
1000000000058,Naseeb,Active,Yes,Balochistan,Quetta,1,18
1000000000059,Nasim,Active,Yes,Balochistan,Quetta,1,19
1000000000060,Nazeer,Active,Yes,Balochistan,Quetta,1,20
1000000000061,Nayab,Active,Yes,Balochistan,Quetta,2,21
1000000000062,Naveed,Active,Yes,Balochistan,Quetta,2,22
1000000000063,Naqeeb,Active,Yes,Balochistan,Quetta,2,23
1000000000064,Hakim,Active,Yes,Balochistan,Quetta,2,24
1000000000065,Farooq,Active,Yes,Balochistan,Quetta,2,25
1000000000066,Shahzil,Active,Yes,Balochistan,Quetta,2,26
1000000000067,Shahid,Active,Yes,Balochistan,Quetta,2,27
1000000000068,Mansoor,Active,Yes,Balochistan,Quetta,2,28
1000000000069,Manzoor,Active,Yes,Balochistan,Quetta,2,29
1000000000070,Malik,Active,Yes,Balochistan,Quetta,2,30
1000000000071,Dumar,Active,Yes,Balochistan,Quetta,2,31
1000000000072,Jabbar,Active,Yes,Balochistan,Quetta,2,32
1000000000073,Jabir,Active,Yes,Balochistan,Quetta,2,33
1000000000074,Sabir,Active,Yes,Balochistan,Quetta,2,34
1000000000075,Saliq,Active,Yes,Balochistan,Quetta,2,35
1000000000076,Sadan,Active,Yes,Balochistan,Quetta,2,36
1000000000077,Saleem,Active,Yes,Balochistan,Quetta,2,37
1000000000078,Kaleem,Active,Yes,Balochistan,Quetta,2,38
1000000000079,Faheem,Active,Yes,Balochistan,Quetta,2,39
1000000000080,Waseem,Active,Yes,Balochistan,Quetta,2,40
1000000000081,Wasit,Active,Yes,Balochistan,Quetta,3,41
1000000000082,Zubair,Active,Yes,Balochistan,Quetta,3,42
1000000000083,Jasra,Active,Yes,Balochistan,Quetta,3,43
1000000000084,Shah Mehmood,Active,Yes,Balochistan,Quetta,3,44
1000000000085,Zain,Active,Yes,Balochistan,Quetta,3,45
1000000000086,Abid,Active,Yes,Balochistan,Quetta,3,46
1000000000087,Inayat Ullah,Active,Yes,Punjab,Lahore,6,11
1000000000088,Salar Khan,Active,Yes,Punjab,Lahore,6,12
1000000000089,Ahmed,Active,Yes,Punjab,Lahore,6,13
1000000000090,Abbas,Active,Yes,Punjab,Lahore,6,14
1000000000091,Ali,Active,Yes,Punjab,Lahore,6,15
1000000000092,Nehad,Active,Yes,Punjab,Lahore,6,16
1000000000093,Hafiz,Active,Yes,Punjab,Lahore,6,17
1000000000094,Sami,Active,Yes,Punjab,Lahore,6,18
1000000000095,Saeed,Active,Yes,Punjab,Lahore,6,19
1000000000096,Kaleem,Active,Yes,Punjab,Lahore,6,20
1000000000097,Naveed,Active,Yes,Sindh,Karachi,11,11
1000000000098,Waheed,Active,Yes,Sindh,Karachi,11,12
1000000000099,Azeem,Active,Yes,Sindh,Karachi,11,13
1000000000100,Ghulam,Active,Yes,Sindh,Karachi,11,14
1000000000101,Niamat,Active,Yes,Sindh,Karachi,11,15
1000000000102,Ghulam,Active,Yes,Sindh,Karachi,11,16
1000000000103,Farooq,Active,Yes,Sindh,Karachi,11,17
1000000000104,Sail,Active,Yes,Sindh,Karachi,11,18
1000000000105,Yahya,Active,Yes,Sindh,Karachi,11,19
1000000000106,Gul,Active,Yes,Sindh,Karachi,11,20
1000000000107,Shah,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,11
1000000000108,Sahab,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,12
1000000000109,Shahab,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,13
1000000000110,Waleed,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,14
1000000000111,Wakeel,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,15
1000000000112,Waqar,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,16
1000000000113,Adeel,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,17
1000000000114,Asim,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,18
1000000000115,Hanif,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,19
1000000000116,Qabil,Active,Yes,Khyber Pakhtunkhwa,Peshawar,16,20
1000000000117,Khaleel,Active,Yes,Islamabad Capital Territory,Islamabad,21,11
1000000000118,Darmand,Active,Yes,Islamabad Capital Territory,Islamabad,21,12
1000000000119,Doran,Active,Yes,Islamabad Capital Territory,Islamabad,21,13
1000000000120,Awais,Active,Yes,Islamabad Capital Territory,Islamabad,21,14
1000000000121,Owais,Active,Yes,Islamabad Capital Territory,Islamabad,21,15
1000000000122,Imran,Active,Yes,Islamabad Capital Territory,Islamabad,21,16
1000000000123,Wasif,Active,Yes,Islamabad Capital Territory,Islamabad,21,17
1000000000124,Babar,Active,Yes,Islamabad Capital Territory,Islamabad,21,18
1000000000125,Rizwan,Active,Yes,Islamabad Capital Territory,Islamabad,21,19
1000000000126,Zia ul Haq,Active,Yes,Islamabad Capital Territory,Islamabad,21,20
1000000000127,Farooq,Active,Yes,Punjab,Lahore,7,21
1000000000128,Naseem,Active,Yes,Punjab,Lahore,7,22
1000000000129,Bilal,Active,Yes,Punjab,Lahore,7,23
1000000000130,Babar,Active,Yes,Punjab,Lahore,7,24
1000000000131,Tawab,Active,Yes,Punjab,Lahore,7,25
1000000000132,Wahab,Active,Yes,Punjab,Lahore,7,26
1000000000133,Abdullah,Active,Yes,Punjab,Lahore,7,27
