Cnic,Full Name,Status,Disabled,Province,City,Block Code,Serial Number
1000000000001,Muhammad Malik,Active,Yes,Balochistan,Quetta,1,1
,Adnan Gul,Active,Yes,Balochistan,Quetta,1,2
,Adnan Baig,Active,Yes,Balochistan,Quetta,1,3
,Naveed Bugti,Active,Yes,Balochistan,Quetta,1,4
,Samina Ahmed,Active,Yes,Balochistan,Quetta,1,5
,Usman Abbasi,Active,Yes,Balochistan,Quetta,1,6
,Ali Baig,Active,Yes,Balochistan,Quetta,1,7
,Kamran Mahar,Active,Yes,Balochistan,Quetta,1,8
,Imran Memon,Active,Yes,Balochistan,Quetta,1,9
,Muhammad Jan,Active,Yes,Balochistan,Quetta,1,10
,Zubair Chaudhry,Active,Yes,Balochistan,Quetta,1,11
,Muhammad Sheikh,Active,Yes,Balochistan,Quetta,1,12
,Waqas Khan,Active,Yes,Balochistan,Quetta,1,13
,Asim Laghari,Active,Yes,Balochistan,Quetta,1,14
,Arsalan Shah,Active,Yes,Balochistan,Quetta,1,15
,Rashid Tareen,Active,Yes,Balochistan,Quetta,1,16
,Babar Shah,Active,Yes,Balochistan,Quetta,1,17
,Faisal Siddiqui,Active,Yes,Balochistan,Quetta,1,18
,Ali Raza,Active,Yes,Balochistan,Quetta,1,19
,Junaid Butt,Active,Yes,Balochistan,Quetta,1,20
,Waqas Sheikh,Active,Yes,Balochistan,Quetta,1,21
,Arsalan Jan,Active,Yes,Balochistan,Quetta,1,22
,Kashif Khan,Active,Yes,Balochistan,Quetta,1,23
,Usman Mengal,Active,Yes,Balochistan,Quetta,1,24
,Iqra Laghari,Active,Yes,Balochistan,Quetta,1,25
,Kashif Chaudhry,Active,Yes,Balochistan,Quetta,1,26
,Rashid Shah,Active,Yes,Balochistan,Quetta,1,27
,Imran Abbasi,Active,Yes,Balochistan,Quetta,1,28
,Rabia Siddiqui,Active,Yes,Balochistan,Quetta,1,29
,Zainab Ahmed,Active,Yes,Balochistan,Quetta,1,30
,Arsalan Khan,Active,Yes,Balochistan,Quetta,1,31
,Bilal Butt,Active,Yes,Balochistan,Quetta,1,32
,Ahmed Abbasi,Active,Yes,Balochistan,Quetta,1,33
,Tariq Jan,Active,Yes,Balochistan,Quetta,1,34
,Zainab Tareen,Active,Yes,Balochistan,Quetta,1,35
,Samina Baig,Active,Yes,Balochistan,Quetta,1,36
,Sana Siddiqui,Active,Yes,Balochistan,Quetta,1,37
,Usman Mengal,Active,Yes,Balochistan,Quetta,1,38
,Usman Gul,Active,Yes,Balochistan,Quetta,1,39
,Hira Tareen,Active,Yes,Balochistan,Quetta,1,40
,Sana Baig,Active,Yes,Balochistan,Quetta,1,41
,Imran Mengal,Active,Yes,Balochistan,Quetta,1,42
,Hira Mahar,Active,Yes,Balochistan,Quetta,1,43
,Babar Chaudhry,Active,Yes,Balochistan,Quetta,1,44
,Hamza Ansari,Active,Yes,Balochistan,Quetta,1,45
,Muhammad Baig,Active,Yes,Balochistan,Quetta,1,46
,Zainab Jan,Active,Yes,Balochistan,Quetta,1,47
,Ali Qureshi,Active,Yes,Balochistan,Quetta,1,48
